X:0.0,Y:15.0,Z:0.0,type:start,
X:0.0,Y:-450.0,Z:0.0,type:goal,
X:0.0,Y:-10.0,Z:0.0,type:block,
X:-20.0,Y:-330.0,Z:0.0,type:destructible,
X:0.0,Y:-330.0,Z:0.0,type:destructible,
X:20.0,Y:-330.0,Z:0.0,type:destructible,
X:0.0,Y:-350.0,Z:0.0,type:destructible,
X:-20.0,Y:-350.0,Z:0.0,type:destructible,
X:20.0,Y:-350.0,Z:0.0,type:destructible,
X:20.0,Y:-370.0,Z:0.0,type:destructible,
X:0.0,Y:-370.0,Z:0.0,type:destructible,
X:-20.0,Y:-370.0,Z:0.0,type:destructible,
X:-20.0,Y:-390.0,Z:0.0,type:destructible,
X:0.0,Y:-390.0,Z:0.0,type:destructible,
X:20.0,Y:-390.0,Z:0.0,type:destructible,
X:0.0,Y:-410.0,Z:0.0,type:destructible,
X:-20.0,Y:-10.0,Z:0.0,type:spikes,
X:-40.0,Y:-10.0,Z:0.0,type:spikes,
X:-40.0,Y:10.0,Z:0.0,type:spikes,
X:-40.0,Y:30.0,Z:0.0,type:spikes,
X:-40.0,Y:50.0,Z:0.0,type:spikes,
X:-40.0,Y:70.0,Z:0.0,type:spikes,
X:-20.0,Y:70.0,Z:0.0,type:spikes,
X:0.0,Y:70.0,Z:0.0,type:spikes,
X:20.0,Y:70.0,Z:0.0,type:spikes,
X:40.0,Y:70.0,Z:0.0,type:spikes,
X:20.0,Y:-10.0,Z:0.0,type:spikes,
X:40.0,Y:-10.0,Z:0.0,type:spikes,
X:60.0,Y:-10.0,Z:0.0,type:spikes,
X:80.0,Y:-10.0,Z:0.0,type:spikes,
X:100.0,Y:-10.0,Z:0.0,type:spikes,
X:120.0,Y:-10.0,Z:0.0,type:spikes,
X:120.0,Y:10.0,Z:0.0,type:spikes,
X:120.0,Y:30.0,Z:0.0,type:spikes,
X:120.0,Y:50.0,Z:0.0,type:spikes,
X:120.0,Y:70.0,Z:0.0,type:spikes,
X:120.0,Y:90.0,Z:0.0,type:spikes,
X:120.0,Y:110.0,Z:0.0,type:spikes,
X:120.0,Y:130.0,Z:0.0,type:spikes,
X:120.0,Y:150.0,Z:0.0,type:spikes,
X:100.0,Y:150.0,Z:0.0,type:spikes,
X:80.0,Y:150.0,Z:0.0,type:spikes,
X:60.0,Y:150.0,Z:0.0,type:spikes,
X:40.0,Y:150.0,Z:0.0,type:spikes,
X:20.0,Y:150.0,Z:0.0,type:spikes,
X:0.0,Y:150.0,Z:0.0,type:spikes,
X:-20.0,Y:150.0,Z:0.0,type:spikes,
X:-40.0,Y:150.0,Z:0.0,type:spikes,
X:-60.0,Y:150.0,Z:0.0,type:spikes,
X:-80.0,Y:150.0,Z:0.0,type:spikes,
X:-100.0,Y:150.0,Z:0.0,type:spikes,
X:-120.0,Y:150.0,Z:0.0,type:spikes,
X:-120.0,Y:130.0,Z:0.0,type:spikes,
X:-120.0,Y:110.0,Z:0.0,type:spikes,
X:-120.0,Y:90.0,Z:0.0,type:spikes,
X:-120.0,Y:70.0,Z:0.0,type:spikes,
X:-120.0,Y:50.0,Z:0.0,type:spikes,
X:-120.0,Y:30.0,Z:0.0,type:spikes,
X:-120.0,Y:10.0,Z:0.0,type:spikes,
X:-120.0,Y:-10.0,Z:0.0,type:spikes,
X:-120.0,Y:-30.0,Z:0.0,type:spikes,
X:-120.0,Y:-50.0,Z:0.0,type:spikes,
X:-120.0,Y:-70.0,Z:0.0,type:spikes,
X:-120.0,Y:-90.0,Z:0.0,type:spikes,
X:-100.0,Y:-90.0,Z:0.0,type:spikes,
X:-80.0,Y:-90.0,Z:0.0,type:spikes,
X:-60.0,Y:-90.0,Z:0.0,type:spikes,
X:120.0,Y:-30.0,Z:0.0,type:spikes,
X:120.0,Y:-50.0,Z:0.0,type:spikes,
X:120.0,Y:-70.0,Z:0.0,type:spikes,
X:120.0,Y:-90.0,Z:0.0,type:spikes,
X:100.0,Y:-90.0,Z:0.0,type:spikes,
X:80.0,Y:-90.0,Z:0.0,type:spikes,
X:60.0,Y:-90.0,Z:0.0,type:spikes,
X:40.0,Y:-90.0,Z:0.0,type:spikes,
X:-40.0,Y:-90.0,Z:0.0,type:spikes,
X:-80.0,Y:-110.0,Z:0.0,type:spikes,
X:80.0,Y:-110.0,Z:0.0,type:spikes,
X:-100.0,Y:-130.0,Z:0.0,type:spikes,
X:100.0,Y:-130.0,Z:0.0,type:spikes,
X:0.0,Y:-150.0,Z:0.0,type:spikes,
X:-120.0,Y:-150.0,Z:0.0,type:spikes,
X:120.0,Y:-150.0,Z:0.0,type:spikes,
X:-120.0,Y:-170.0,Z:0.0,type:spikes,
X:-120.0,Y:-190.0,Z:0.0,type:spikes,
X:120.0,Y:-170.0,Z:0.0,type:spikes,
X:120.0,Y:-190.0,Z:0.0,type:spikes,
X:-20.0,Y:-170.0,Z:0.0,type:spikes,
X:20.0,Y:-170.0,Z:0.0,type:spikes,
X:-40.0,Y:-190.0,Z:0.0,type:spikes,
X:40.0,Y:-190.0,Z:0.0,type:spikes,
X:-40.0,Y:-210.0,Z:0.0,type:spikes,
X:40.0,Y:-210.0,Z:0.0,type:spikes,
X:-120.0,Y:-210.0,Z:0.0,type:spikes,
X:120.0,Y:-210.0,Z:0.0,type:spikes,
X:120.0,Y:-230.0,Z:0.0,type:spikes,
X:40.0,Y:-230.0,Z:0.0,type:spikes,
X:-40.0,Y:-230.0,Z:0.0,type:spikes,
X:-120.0,Y:-230.0,Z:0.0,type:spikes,
X:-120.0,Y:-250.0,Z:0.0,type:spikes,
X:-30.0,Y:-250.0,Z:0.0,type:spikes,
X:30.0,Y:-250.0,Z:0.0,type:spikes,
X:120.0,Y:-250.0,Z:0.0,type:spikes,
X:-120.0,Y:-270.0,Z:0.0,type:spikes,
X:120.0,Y:-270.0,Z:0.0,type:spikes,
X:-100.0,Y:-290.0,Z:0.0,type:spikes,
X:100.0,Y:-290.0,Z:0.0,type:spikes,
X:-80.0,Y:-310.0,Z:0.0,type:spikes,
X:80.0,Y:-310.0,Z:0.0,type:spikes,
X:-40.0,Y:-330.0,Z:0.0,type:spikes,
X:40.0,Y:-330.0,Z:0.0,type:spikes,
X:-40.0,Y:-350.0,Z:0.0,type:spikes,
X:-40.0,Y:-370.0,Z:0.0,type:spikes,
X:-40.0,Y:-390.0,Z:0.0,type:spikes,
X:40.0,Y:-390.0,Z:0.0,type:spikes,
X:40.0,Y:-350.0,Z:0.0,type:spikes,
X:40.0,Y:-370.0,Z:0.0,type:spikes,
X:40.0,Y:-410.0,Z:0.0,type:spikes,
X:-40.0,Y:-410.0,Z:0.0,type:spikes,
X:-40.0,Y:-430.0,Z:0.0,type:spikes,
X:40.0,Y:-430.0,Z:0.0,type:spikes,
X:40.0,Y:-450.0,Z:0.0,type:spikes,
X:40.0,Y:-470.0,Z:0.0,type:spikes,
X:-40.0,Y:-470.0,Z:0.0,type:spikes,
X:-40.0,Y:-450.0,Z:0.0,type:spikes,
X:0.0,Y:-490.0,Z:0.0,type:spikes,
X:-20.0,Y:-490.0,Z:0.0,type:spikes,
X:-40.0,Y:-490.0,Z:0.0,type:spikes,
X:20.0,Y:-490.0,Z:0.0,type:spikes,
X:40.0,Y:-490.0,Z:0.0,type:spikes,
X:-60.0,Y:-330.0,Z:0.0,type:spikes,
X:60.0,Y:-330.0,Z:0.0,type:spikes,
X:0.0,Y:-430.0,Z:0.0,type:enemy,
X:0.0,Y:-210.0,Z:0.0,type:archieve,
